"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"76","Jordan Mason (SF)","43","258","6.0","55","4","1","0","0","0","0","0","0","12","31.8","2.7","0.6%"
"77","Ty Johnson (FA)","30","160","5.3","32","3","1","12","24","88","7.3","0","0","12","30.8","2.6","0.0%"
"78","Marlon Mack (ARI)","16","84","5.3","17","0","1","8","10","99","12.4","1","0","8","30.3","3.8","3.1%"
"79","DeeJay Dallas (SEA)","35","186","5.3","27","1","0","17","19","126","7.4","0","0","15","30.2","2.0","0.7%"
"80","Justice Hill (BAL)","49","262","5.3","34","2","0","12","12","58","4.8","0","1","15","30.0","2.0","0.2%"
"81","Ameer Abdullah (LV)","4","20","5.0","7","0","0","25","32","211","8.4","1","0","16","29.1","1.8","0.7%"
"82","J.D. McKissic (FA)","22","95","4.3","33","2","0","27","40","173","6.4","0","0","9","28.8","3.2","0.1%"
"83","Dare Ogunbowale (HOU)","42","123","2.9","11","0","1","20","26","104","5.2","0","0","15","28.7","1.9","0.1%"
"84","Malik Davis (DAL)","38","161","4.2","23","2","1","6","7","63","10.5","0","0","6","28.4","4.7","1.0%"
"85","Travis Homer (CHI)","19","74","3.9","16","0","0","16","18","157","9.8","1","1","12","27.1","2.3","0.3%"
"86","Javonte Williams (DEN)","47","204","4.3","17","0","0","16","22","76","4.8","0","1","4","26.0","6.5","87.5%"
"87","Gary Brightwell (NYG)","31","141","4.5","25","1","1","5","8","39","7.8","0","0","15","24.0","1.6","0.2%"
"88","Alec Ingold (MIA)","6","8","1.3","2","0","1","15","23","105","7.0","1","0","12","23.3","1.9","0.1%"
"89","Craig Reynolds (DET)","23","102","4.4","21","1","0","9","10","116","12.9","0","0","7","21.8","3.1","0.2%"
"90","Kyren Williams (LAR)","35","139","4.0","17","0","0","9","12","76","8.4","0","0","8","21.5","2.7","2.5%"
"91","C.J. Ham (MIN)","4","7","1.8","3","0","2","10","12","86","8.6","0","0","11","21.3","1.9","0.1%"
"92","Pierre Strong Jr. (NE)","10","100","10.0","44","3","1","7","7","42","6.0","0","0","10","20.2","2.0","1.4%"
"93","Mike Boone (HOU)","24","102","4.3","18","0","0","9","15","96","10.7","0","0","8","19.8","2.5","0.2%"
"94","Avery Williams (ATL)","22","109","5.0","21","1","1","13","14","61","4.7","0","1","17","19.5","1.1","0.0%"
"95","Jonathan Williams (WAS)","37","152","4.1","23","1","0","7","10","40","5.7","0","0","9","19.2","2.1","0.1%"
"96","Tevin Coleman (FA)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","19.0","6.3","0.0%"
"97","Brandon Bolden (LV)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","12","18.8","1.6","0.2%"
"98","Malcolm Brown (FA)","18","81","4.5","23","1","1","5","6","37","7.4","0","0","7","17.8","2.5","0.0%"
