"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"85","Kendrick Bourne (NE)","35","48","434","12.4","41","9","1","6","39","0","0","16","53.3","3.3","0.8%"
"86","Allen Robinson II (PIT)","33","52","339","10.3","29","3","3","0","0","0","0","10","51.9","5.2","3.4%"
"87","Quez Watkins (PHI)","33","51","354","10.7","53","12","3","3","1","0","1","17","51.5","3.0","0.8%"
"88","Elijah Moore (CLE)","37","65","446","12.1","42","10","1","5","5","0","0","16","51.1","3.2","55.3%"
"89","Jamal Agnew (JAC)","23","30","187","8.1","24","1","3","12","86","0","0","15","49.3","3.3","0.7%"
"90","Trenton Irwin (CIN)","15","23","231","15.4","45","6","4","1","11","0","0","9","48.2","5.4","0.2%"
"91","Randall Cobb (NYJ)","34","50","417","12.3","40","10","1","0","0","0","0","13","47.7","3.7","0.7%"
"92","Jauan Jennings (SF)","35","56","416","11.9","44","6","1","0","0","0","0","16","47.6","3.0","0.5%"
"93","Rondale Moore (ARI)","41","56","414","10.1","38","8","1","6","-5","0","0","8","46.9","5.9","47.1%"
"94","Julio Jones (FA)","24","43","299","12.5","48","6","2","5","45","0","0","10","46.4","4.6","7.1%"
"95","Dante Pettis (CHI)","19","41","245","12.9","51","7","3","2","37","0","0","17","46.2","2.7","0.0%"
"96","Laviska Shenault Jr. (CAR)","27","32","272","10.1","67","8","1","9","65","1","0","13","45.7","3.5","0.7%"
"97","Ben Skowronek (LAR)","39","61","376","9.6","32","7","0","1","17","1","0","14","45.3","3.2","0.4%"
"98","Tutu Atwell (LAR)","18","35","298","16.6","62","12","1","9","34","1","0","12","45.2","3.8","0.7%"
"99","Tyquan Thornton (NE)","22","45","247","11.2","29","4","2","3","16","1","0","12","44.3","3.7","7.5%"
"100","Nelson Agholor (BAL)","31","53","362","11.7","44","9","2","0","0","0","2","15","44.2","2.9","0.2%"
"101","Ray-Ray McCloud III (SF)","14","25","243","17.4","42","8","1","4","78","1","0","17","44.1","2.6","0.6%"
"102","Equanimeous St. Brown (CHI)","21","38","323","15.4","56","9","1","6","54","0","0","16","43.7","2.7","0.2%"
"103","Justin Watson (KC)","15","34","315","21.0","67","12","2","0","0","0","0","17","43.5","2.6","0.2%"
"104","Hunter Renfrow (LV)","36","50","330","9.2","27","3","2","0","0","0","1","10","43.0","4.3","10.8%"
"105","Kadarius Toney (KC)","16","20","171","10.7","38","5","2","7","82","1","1","9","41.3","4.6","64.1%"
"106","Braxton Berrios (MIA)","18","32","145","8.1","25","2","0","9","91","2","0","17","39.7","2.3","0.9%"
"107","Shi Smith (CAR)","22","41","296","13.5","38","8","2","0","0","0","1","17","39.6","2.3","0.1%"
"108","Damiere Byrd (CAR)","13","23","268","20.6","75","8","2","0","0","0","0","12","38.8","3.2","0.0%"
"109","Rashod Bateman (BAL)","15","28","285","19.0","75","12","2","0","0","0","1","6","38.5","6.4","33.8%"
"110","A.J. Green (FA)","24","47","236","9.8","77","4","2","0","0","0","0","13","37.6","2.9","1.0%"
"111","Jarvis Landry (FA)","25","39","272","10.9","40","5","1","0","0","0","0","9","35.2","3.9","7.1%"
"112","Michael Thomas (NO)","16","22","171","10.7","21","2","3","0","0","0","0","3","35.1","11.7","83.4%"
"113","Tre'Quan Smith (NO)","19","27","278","14.6","48","6","1","0","0","0","0","10","33.8","3.4","0.1%"
"114","Kendall Hinton (DEN)","24","33","311","13.0","35","8","0","2","13","0","0","11","32.4","2.9","0.1%"
"115","Robbie Chosen (MIA)","20","44","282","14.1","75","7","1","0","0","0","1","12","32.2","2.7","0.3%"
"116","Phillip Dorsett II (LV)","20","40","257","12.9","34","6","1","0","0","0","0","15","31.7","2.1","0.1%"
"117","Sammy Watkins (FA)","16","27","325","20.3","55","15","0","0","0","0","1","9","30.5","3.4","3.0%"
"118","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","28.6","4.8","5.1%"
"119","KhaDarel Hodge (ATL)","13","20","202","15.5","39","3","1","0","0","0","0","13","28.2","2.2","0.1%"
"120","Dyami Brown (WAS)","5","14","143","28.6","75","6","2","1","15","0","0","9","27.8","3.1","0.1%"
"121","Ashton Dulin (IND)","15","22","207","13.8","39","3","1","2","8","0","0","10","27.5","2.8","0.1%"
"122","Velus Jones Jr. (CHI)","7","14","107","15.3","44","4","1","9","103","1","3","11","27.0","2.5","0.2%"
"123","Byron Pringle (WAS)","10","16","135","13.5","35","4","2","0","0","0","0","10","25.5","2.6","0.0%"
